id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2008,M Chinnaswamy Stadium,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,140.0,0.0,BB McCullum,M Chinnaswamy Stadium,RE Koertzen,J Srinath,
3,2008,Feroz Shah Kotla,2008-04-19,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0.0,9.0,MF Maharoof,Feroz Shah Kotla,GA Pratapkumar,GR Viswanath,
2,2008,"Punjab Cricket Association Stadium, Mohali",2008-04-19,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33.0,0.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",SL Shastri,S Venkataraghavan,
5,2008,Eden Gardens,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,0.0,5.0,DJ Hussey,Eden Gardens,K Hariharan,FM Engineer,
4,2008,Wankhede Stadium,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0.0,5.0,MV Boucher,Wankhede Stadium,DJ Harper,J Srinath,
6,2008,Sawai Mansingh Stadium,2008-04-21,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0.0,6.0,SR Watson,Sawai Mansingh Stadium,RB Tiffin,S Venkataraghavan,
7,2008,"Rajiv Gandhi International Stadium, Uppal",2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0.0,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",AM Saheba,Talat Ali,
8,2008,"MA Chidambaram Stadium, Chepauk",2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,6.0,0.0,ML Hayden,"MA Chidambaram Stadium, Chepauk",GA Pratapkumar,FM Engineer,
9,2008,"Rajiv Gandhi International Stadium, Uppal",2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0.0,3.0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",MR Benson,S Venkataraghavan,
10,2008,"Punjab Cricket Association Stadium, Mohali",2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,66.0,0.0,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",AM Saheba,FM Engineer,
12,2008,"MA Chidambaram Stadium, Chepauk",2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0.0,9.0,JDP Oram,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,Talat Ali,
11,2008,M Chinnaswamy Stadium,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0.0,7.0,SR Watson,M Chinnaswamy Stadium,IL Howell,J Srinath,
14,2008,"Punjab Cricket Association Stadium, Mohali",2008-04-27,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,normal,0,Kings XI Punjab,0.0,4.0,SM Katich,"Punjab Cricket Association Stadium, Mohali",I Shivram,FM Engineer,
13,2008,Dr DY Patil Sports Academy,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0.0,10.0,AC Gilchrist,Dr DY Patil Sports Academy,SL Shastri,S Venkataraghavan,
15,2008,M Chinnaswamy Stadium,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,13.0,0.0,MS Dhoni,M Chinnaswamy Stadium,RB Tiffin,J Srinath,
16,2008,Eden Gardens,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0.0,7.0,ST Jayasuriya,Eden Gardens,AV Jayaprakash,S Venkataraghavan,
17,2008,Feroz Shah Kotla,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,10.0,0.0,GD McGrath,Feroz Shah Kotla,I Shivram,CH Lloyd,
18,2008,"Rajiv Gandhi International Stadium, Uppal",2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0.0,7.0,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",RB Tiffin,Talat Ali,
19,2008,Sawai Mansingh Stadium,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45.0,0.0,SA Asnodkar,Sawai Mansingh Stadium,GA Pratapkumar,FM Engineer,
20,2008,"MA Chidambaram Stadium, Chepauk",2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0.0,8.0,V Sehwag,"MA Chidambaram Stadium, Chepauk",K Hariharan,S Venkataraghavan,
22,2008,"Punjab Cricket Association Stadium, Mohali",2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,9.0,0.0,IK Pathan,"Punjab Cricket Association Stadium, Mohali",I Shivram,CH Lloyd,
52,2008,M Chinnaswamy Stadium,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Royal Challengers Bangalore,3.0,0.0,P Kumar,M Chinnaswamy Stadium,SL Shastri,Talat Ali,
23,2008,Dr DY Patil Sports Academy,2008-05-04,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,29.0,0.0,SM Pollock,Dr DY Patil Sports Academy,RE Koertzen,J Srinath,
24,2008,Sawai Mansingh Stadium,2008-05-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0.0,8.0,Sohail Tanvir,Sawai Mansingh Stadium,AV Jayaprakash,FM Engineer,
25,2008,M Chinnaswamy Stadium,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0.0,6.0,S Sreesanth,M Chinnaswamy Stadium,BR Doctrove,CH Lloyd,
26,2008,"MA Chidambaram Stadium, Chepauk",2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0.0,7.0,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",RB Tiffin,J Srinath,
27,2008,Dr DY Patil Sports Academy,2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,0.0,7.0,A Nehra,Dr DY Patil Sports Academy,RE Koertzen,Talat Ali,
